bodyType,brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,price
внедорожник 5 дв.,MITSUBISHI,серебристый,бензин,2005,5,2008,автоматическая,3.0 LTR,220 N12,640000
универсал 5 дв.,SUBARU,белый,бензин,2014,5,2016,вариатор,2.5 LTR,175 N12,1720000
внедорожник 5 дв.,MERCEDES,чёрный,бензин,2012,5,2012,автоматическая,4.7 LTR,435 N12,2740000
универсал 5 дв.,KIA,коричневый,бензин,2015,5,2016,роботизированная,1.6 LTR,135 N12,1349000
внедорожник 5 дв.,LEXUS,красный,бензин,2014,5,2015,вариатор,2.0 LTR,150 N12,2490000
внедорожник 5 дв.,AUDI,чёрный,дизель,2009,5,2013,автоматическая,3.0 LTR,245 N12,2780000
хэтчбек 5 дв.,KIA,белый,бензин,2012,5,2012,механическая,1.6 LTR,129 N12,745000
внедорожник 5 дв.,TOYOTA,чёрный,бензин,2012,5,2013,автоматическая,4.6 LTR,309 N12,3190000
седан,VOLKSWAGEN,серебристый,бензин,2014,4,2017,механическая,1.6 LTR,110 N12,899000
хэтчбек 5 дв.,MERCEDES,голубой,бензин,2012,5,2013,роботизированная,1.6 LTR,156 N12,1018000
седан,KIA,серебристый,бензин,2015,4,2017,автоматическая,2.0 LTR,150 N12,1604000
внедорожник 5 дв.,SSANG_YONG,чёрный,бензин,2007,5,2011,автоматическая,2.3 LTR,150 N12,720000
седан,KIA,белый,бензин,2014,4,2014,автоматическая,3.8 LTR,334 N12,1730000
внедорожник 5 дв.,UAZ,белый,бензин,2016,5,2018,механическая,2.7 LTR,150 N12,829000
внедорожник 5 дв.,VOLKSWAGEN,серебристый,бензин,2007,5,2010,автоматическая,2.0 LTR,170 N12,770000
хэтчбек 5 дв.,OPEL,синий,бензин,2006,5,2007,роботизированная,1.6 LTR,115 N12,259000
седан,VAZ,чёрный,бензин,2015,4,2019,механическая,1.8 LTR,122 N12,775000
внедорожник 5 дв.,LAND_ROVER,чёрный,дизель,2004,5,2009,автоматическая,2.7 LTR,190 N12,959000
седан,VAZ,белый,бензин,2018,4,2019,механическая,1.6 LTR,106 N12,680000
